اباي	a b a i
مەكەندەگەن	m ye k ye n d ye g ye n
مەكەمەلەر	m ye k ye m ye l ye r
مەكەمە	m ye k ye m ye
مەكەندەيدى	m ye k ye n d ye i d xe
مەكەندەيتىن	m ye k ye n d ye i t xe n
مەيىربان	m ye i xe r b a n
مەيىرىمدى	m ye i xe r xe m d xe
مەيىرىمدىلىك	m ye i xe r xe m d xe l xe k
مەيىرىمسىز	m ye i xe r xe m s xe z
مەكتەپ جۇمىسى	m ye k t ye p   j u m e s e
مەكتەپ دىرەكتورى	m ye k t ye p   d xe r ye k t o r e
مەكتەپ بولمەسى	m ye k t ye p   b xo l m ye s xe
مەكتەپ كىتابى	m ye k t ye p   k xe t a b e
مەكتەپ ۇيى	m ye k t ye p   xu i xe
مەكەندەۋ ورىندارى	m ye k ye n d ye w   o r e n d a r e
مەكەندەۋشىلەر	m ye k ye n d ye w sh xe l ye r
مەكتەپ	m ye k t ye p
مەكتەپ بولمەلەرى	m ye k t ye p   b xo l m ye l ye r xe
مەلانحولىيا	m ye l a n h o l xe i a
مەلانحولىكالىق	m ye l a n h o l xe k a l e q
مەلانوما	m ye l a n o m a
مەلىوراتىۆتى	m ye l xe o r a t xe v t xe
مەلىوراتسىيالاڭحان	m ye l xe o r a t s xe i a l a n gh a n
مەكتەپكە دەيىڭى	m ye k t ye p k ye   d ye i xe n g xe
مەكتەپتە وقىعان	m ye k t ye p t ye   o q e gh a n
مەكتەپتەر	m ye k t ye p t ye r
مەلانىن	m ye l a n xe n
مەلودراماتىكا	m ye l o d r a m a t xe k a
مەلودرامالىق	m ye l o d r a m a l e q
مەلودرامالار	m ye l o d r a m a l a r
مەملەكەت قايراتكەرلەرى	m ye m l ye k ye t   q a i r a t k ye r l ye r xe
مەمبرانا	m ye m b r a n a
مەمبرانالار	m ye m b r a n a l a r
مەلىوراتسىيالار	m ye l xe o r a t s xe i a l a r
مەللىفليۋتورلى	m ye l l xe f l i w t o r l e
مەلليۋزىۆتى	m ye l l i w z xe v t xe
مەلودراما	m ye l o d r a m a
مەموراندۋم	m ye m o r a n d w m
مەملەكەتتىك	m ye m l ye k ye t t xe k
مەملەكەتتەر	m ye m l ye k ye t t ye r
مەمورىالىست	m ye m o r xe a l xe s t
مەموراندۋمدار	m ye m o r a n d w m d a r
مەمورىالدى	m ye m o r xe a l d e
مەملەكەت قايراتكەرلىگى	m ye m l ye k ye t   q a i r a t k ye r l xe g xe
مەملەكەت قايراتكەرى	m ye m l ye k ye t   q a i r a t k ye r xe
مەملەكەتارالىق	m ye m l ye k ye t a r a l e q
مەملەكەتكە اينالدىرۋ	m ye m l ye k ye t k ye   a i n a l d e r w
مەنەدجەرلەر	m ye n ye d j ye r l ye r
مەنەدجەر	m ye n ye d j ye r
مەندىلىك	m ye n d xe l xe k
مەنىڭىت	m ye n xe n g xe t
مەنمەن	m ye n m ye n
مەن	m ye n
مەناگەرىيا	m ye n a g ye r xe i a
مەنالدى	m ye n a l d e
مەندەلەۆىي	m ye n d ye l ye v xe i
مەنتالىتەتتەر	m ye n t a l xe t ye t t ye r
مەنسىنبەۋ	m ye n s xe n b ye w
مەنسىنبەيمىن	m ye n s xe n b ye i m xe n
مەنتولداڭحان	m ye n t o l d a n gh a n
مەنتول	m ye n t o l
مەنمەندىك	m ye n m ye n d xe k
مەنوپاۋزا	m ye n o p a w z a
مەنسترۋاتسىيا	m ye n s t r w a t s xe i a
مەنسىنبەي	m ye n s xe n b ye i
مەنىڭ	m ye n xe n g
مەنىكى	m ye n xe k xe
مەردىگەرلەر	m ye r d xe g ye r l ye r
مەرگەندىك	m ye r g ye n d xe k
مەردىگەر	m ye r d xe g ye r
مەنحىر	m ye n h xe r
مەنشىك	m ye n sh xe k
مەنشىك ىەلەرى	m ye n sh xe k   xe ye l ye r xe
مەنشىكتى	m ye n sh xe k t xe
مەنشىكتى كاپىتال	m ye n sh xe k t xe   k a p xe t a l
مەنشىكتىك	m ye n sh xe k t xe k
مەرەيتويى	m ye r ye i t o i e
مەرەيتويلار	m ye r ye i t o i l a r
مەرەكەلەر	m ye r ye k ye l ye r
مەرەكەلىك شارالار	m ye r ye k ye l xe k   sh a r a l a r
مەرەز	m ye r ye z
مەرەيلى	m ye r ye i l xe
مەرەيتوي	m ye r ye i t o i
مەرزىمى اياقتالادى	m ye r z xe m xe   a i a q t a l a d e
مەرزىمى	m ye r z xe m xe
مەرزىمى وتكەن	m ye r z xe m xe   xo t k ye n
مەرزىمى اياقتالۋدا	m ye r z xe m xe   a i a q t a l w d a
مەرزىمى وتكەن بەرەشەك	m ye r z xe m xe   xo t k ye n   b ye r ye sh ye k
مەرەتىكالىق	m ye r ye t xe k a l e q
مەرزىمدەرى	m ye r z xe m d ye r xe
مەرزىمدى	m ye r z xe m d xe
مەرزىمدى باسىلىمدار	m ye r z xe m d xe   b a s e l e m d a r
مەرزىمدىلىگى	m ye r z xe m d xe l xe g xe
مەرىتوكراتىيا	m ye r xe t o k r a t xe i a
مەرىنوس	m ye r xe n o s
مەركەرىزاتسىيالاۋ	m ye r k ye r xe z a t s xe i a l a w
مەركەر	m ye r k ye r
مەرلىن	m ye r l xe n
مەرمان	m ye r m a n
مەرزىمىنەن تىس ۋاقىت	m ye r z xe m xe n ye n   t e s   w a q e t
مەرىدىان	m ye r xe d xe a n
مەرىدىاندار	m ye r xe d xe a n d a r
مەرىدىاندىق	m ye r xe d xe a n d e q
مەسسىاندىق	m ye s s xe a n d e q
مەسنە	m ye s n ye
مەسكال	m ye s k a l
مەت	m ye t
مەسسىيا	m ye s s xe i a
مەتا	m ye t a
مەررىەر	m ye r r xe ye r
مەرۋەرت	m ye r w ye r t
مەسىحتەر	m ye s xe h t ye r
مەتالل وڭدەۋ	m ye t a l l   xo n g d ye w
مەتالل	m ye t a l l
مەتالدار	m ye t a l d a r
مەتاللدالعان	m ye t a l l d a l gh a n
مەتاللۋرگ	m ye t a l l w r g
مەتابولىزدەۋ	m ye t a b o l xe z d ye w
مەتابولىزم	m ye t a b o l xe z m
مەتابولىكالىق	m ye t a b o l xe k a l e q
مەتاكارپ	m ye t a k a r p
مەتاكارپال	m ye t a k a r p a l
مەتان	m ye t a n
مەتامورفوزدى	m ye t a m o r f o z d e
مەتامورفوزا	m ye t a m o r f o z a
مەتاتارسال	m ye t a t a r s a l
مەتاستاز	m ye t a s t a z
مەتاللۋرگىيا	m ye t a l l w r g xe i a
مەتاللۋرگىيالىق	m ye t a l l w r g xe i a l e q
مەتامورفىزم	m ye t a m o r f xe z m
مەتامورفوز	m ye t a m o r f o z
مەتافورالار	m ye t a f o r a l a r
مەتافورا	m ye t a f o r a
مەتەمپسىحوز	m ye t ye m p s xe h o z
مەتافرازا	m ye t a f r a z a
مەتەوجاعدايلار	m ye t ye o j a gh d a i l a r
مەتاتارۋس	m ye t a t a r w s
مەتاتەز	m ye t a t ye z
مەتافازا	m ye t a f a z a
مەتافىزىكا	m ye t a f xe z xe k a
مەتافىزىكالىق	m ye t a f xe z xe k a l e q
مەتەورولوگىيالىق	m ye t ye o r o l o g xe i a l e q
مەتەورولوگىيا	m ye t ye o r o l o g xe i a
مەتەورولوگ	m ye t ye o r o l o g
مەتىنكەستەر	m ye t xe n k ye s t ye r
مەتەس	m ye t ye s
مەتىل	m ye t xe l
مەتەور	m ye t ye o r
مەتەورىت	m ye t ye o r xe t
مەتەورىتتەر	m ye t ye o r xe t t ye r
مەتەورىيالىق	m ye t ye o r xe i a l e q
مەتەورلار	m ye t ye o r l a r
مەترو	m ye t r o
مەترىكالىق	m ye t r xe k a l e q
مەترىكا	m ye t r xe k a
مەترولوگىيا	m ye t r o l o g xe i a
مەترونوم	m ye t r o n o m
مەتلەزوما	m ye t l ye z o m a
مەتونىمىكالىق	m ye t o n xe m xe k a l e q
مەتونىمىيا	m ye t o n xe m xe i a
مەتر	m ye t r
مەحانىكالاندىرۋ	m ye h a n xe k a l a n d e r w
مەحانىكا	m ye h a n xe k a
مەحانىك	m ye h a n xe k
مەحانىكالاندىرىلعان	m ye h a n xe k a l a n d e r e l gh a n
مەتسەنات	m ye t s ye n a t
مەتت	m ye t t
مەفىت	m ye f xe t
مەفىتىكالىق	m ye f xe t xe k a l e q
مەح	m ye h
مەحانىزمى	m ye h a n xe z m xe
ٴمىالگىيا	m xe a l g xe i a
ٴمى شابۋىلى	m xe   sh a b w e l e
ٴمى	m xe
مىاستەنىيا	m xe a s t ye n xe i a
ٴمىاسما	m xe a s m a
ٴمىگرانت	m xe g r a n t
مەتسەناتتار	m ye t s ye n a t t a r
مەشىت	m ye sh xe t
مەشىتتەر	m ye sh xe t t ye r
مەڭ	m ye n g
ٴمىدى جۋۋ	m xe d e   j w w
ٴمىدىيا	m xe d xe i a
ٴمىدج	m xe d j
مىەلوىدتى	m xe ye l o xe d t e
مىەلىت	m xe ye l xe t
مىەن	m xe ye n
ٴمىگرانتتار	m xe g r a n t t a r
مىگرەن	m xe g r ye n
ٴمىداعى	m xe d a gh e
ٴمىداعى بالالار	m xe d a gh e   b a l a l a r
مىكروبىولوگىيا	m xe k r o b xe o l o g xe i a
مىكروب	m xe k r o b
مىكرواۆتوبۋس	m xe k r o a v t o b w s
مىكروبتار	m xe k r o b t a r
مىكروبتى	m xe k r o b t e
مىكروبقا قارسى	m xe k r o b q a   q a r s e
مىزەن	m xe z ye n
مىكوز	m xe k o z
مىكولوگىيا	m xe k o l o g xe i a
مىكرو	m xe k r o
مىكرون	m xe k r o n
مىكرومەترلەر	m xe k r o m ye t r l ye r
مىكرومەتر	m xe k r o m ye t r
مىكرووگراف	m xe k r o o g r a f
مىكروورگانىزم	m xe k r o o r g a n xe z m
مىكروپروتسەسسور	m xe k r o p r o t s ye s s o r
مىكرودوت	m xe k r o d o t
مىكروكومپيۋتەر	m xe k r o k o m p i w t ye r
مىكروكوسموس	m xe k r o k o s m o s
مىكرومەتەورىت	m xe k r o m ye t ye o r xe t
مىكروتون	m xe k r o t o n
مىكروتولقىندى پەش	m xe k r o t o l q e n d e   p ye sh
مىكروفىشە	m xe k r o f xe sh ye
مىكروفىلم	m xe k r o f xe l m
مىكروسكوپ	m xe k r o s k o p
مىكروسكوپىيا	m xe k r o s k o p xe i a
مىكروسكوپىيالىق	m xe k r o s k o p xe i a l e q
مىكروسكوپتار	m xe k r o s k o p t a r
مىلەر	m xe l ye r
مىكسوماتوز	m xe k s o m a t o z
ٴمىلىتارىزم	m xe l xe t a r xe z m
ٴمىلىتارىزاتسىيالاۋ	m xe l xe t a r xe z a t s xe i a l a w
ٴمىلىتارىست	m xe l xe t a r xe s t
مىكروفون	m xe k r o f o n
مىكروفورم	m xe k r o f o r m
مىكروفوتوگراف	m xe k r o f o t o g r a f
مىكروحىمىيا	m xe k r o h xe m xe i a
مىكروچىپ	m xe k r o ch xe p
مىللىاردەر	m xe l l xe a r d ye r
مىللەپەدە	m xe l l ye p ye d ye
مىلكوپ	m xe l k o p
ٴمىللىون	m xe l l xe o n
ٴمىللىبار	m xe l l xe b a r
مىللىونەر	m xe l l xe o n ye r
مىلىتسىونەر	m xe l xe t s xe o n ye r
مىلىتسىونەرلەر	m xe l xe t s xe o n ye r l ye r
ٴمىلىتسىيا	m xe l xe t s xe i a
مىلكىەر	m xe l k xe ye r
مىمەوگراف	m xe m ye o g r a f
ٴمىلت	m xe l t
مىلومەتر	m xe l o m ye t r
مىمىكا	m xe m xe k a
مىمەتىكالىق	m xe m ye t xe k a l e q
ٴمىموزا	m xe m o z a
ٴمىللىونىنشى	m xe l l xe o n e n sh e
مىللىپەد	m xe l l xe p ye d
مىللىپەدتەر	m xe l l xe p ye d t ye r
مىللىسەكۋند	m xe l l xe s ye k w n d
مىنەرالداڭحان	m xe n ye r a l d a n gh a n
مىنەرالوگىيا	m xe n ye r a l o g xe i a
مىنەسترون	m xe n ye s t r o n
ٴمىنى	m xe n xe
ٴمىن	m xe n
ٴمىنالاڭحان	m xe n a l a n gh a n
ٴمىنالار	m xe n a l a r
ٴمىنارا	m xe n a r a
مىنەم	m xe n ye m
مىنىكاب	m xe n xe k a b
مىنىۆەر	m xe n xe v ye r
ٴمىنىاتيۋرىست	m xe n xe a t i w r xe s t
مىنىكابتار	m xe n xe k a b t a r
ٴمىنىما	m xe n xe m a
ٴمىنىاتيۋرالار	m xe n xe a t i w r a l a r
ٴمىنىاتيۋرالىق	m xe n xe a t i w r a l e q
ٴمىنىاتيۋراسى	m xe n xe a t i w r a s e
مىنىسترلىكتەر	m xe n xe s t r l xe k t ye r
ٴمىنىستر	m xe n xe s t r
ٴمىنوۆتار	m xe n o v t a r
مىنىفىكاتسىيالاڭحان	m xe n xe f xe k a t s xe i a l a n gh a n
مىنكستەر	m xe n k s t ye r
ٴمىنىمالدى	m xe n xe m a l d e
مىنىمالىستىك	m xe n xe m a l xe s t xe k
ٴمىنىمۋم	m xe n xe m w m
ٴمىنىون	m xe n xe o n
ٴمىنىوندار	m xe n xe o n d a r
ٴمىنسترلى	m xe n s t r l xe
ٴمىنۋس بەلگىسى	m xe n w s   b ye l g xe s xe
ٴمىنۋت	m xe n w t
مىنومەت	m xe n o m ye t
مىنومەتتەر	m xe n o m ye t t ye r
ٴمىنستر	m xe n s t r
مىنسترلەر	m xe n s t r l ye r
مىركى	m xe r k xe
ٴمىرىاپود	m xe r xe a p o d
ٴمىر	m xe r
ٴمىرت	m xe r t
ٴمىررا	m xe r r a
ٴمىسانتروپىست	m xe s a n t r o p xe s t
ٴمىنۋتتا	m xe n w t t a
ٴمىنۋتى	m xe n w t e
ٴمىوپىيا	m xe o p xe i a
ٴمىوپىيالىق	m xe o p xe i a l e q
ٴمىسوگىنىست	m xe s o g xe n xe s t
ٴمىسوگامىيا	m xe s o g a m xe i a
ٴمىسانتروپتى	m xe s a n t r o p t e
مىسسىونەرلەر	m xe s s xe o n ye r l ye r
ٴمىسس	m xe s s
مىسسىونەر	m xe s s xe o n ye r
مىسانتروپىستەر	m xe s a n t r o p xe s t ye r
ٴمىسانتروپىيا	m xe s a n t r o p xe i a
ٴمىسانتروپىيالىق	m xe s a n t r o p xe i a l e q
مىستىفىكاتسىيالايدى	m xe s t xe f xe k a t s xe i a l a i d e
مىستىفىكاتسىيا	m xe s t xe f xe k a t s xe i a
مىتىڭكە شىقتى	m xe t xe n g k ye   sh e q t e
ٴمىسىز	m xe s e z
ٴمىتىڭ	m xe t xe n g
ٴمىسسىيالار	m xe s s xe i a l a r
ٴمىسسىياسى	m xe s s xe i a s e
مىستىكا	m xe s t xe k a
مىستىكالىق	m xe s t xe k a l e q
ٴمىفولوگىيا	m xe f o l o g xe i a
ٴمىف	m xe f
مىتتستەر	m xe t t s t ye r
ٴمىفولوگىيالارى	m xe f o l o g xe i a l a r e
مىفتەر	m xe f t ye r
مىتىڭتەر	m xe t xe n g t ye r
مىتىڭىلەر	m xe t xe n g xe l ye r
ٴمىتوز	m xe t o z
ٴمىتت	m xe t t
ٴمىى	m xe e
ٴمىشماش	m xe sh m a sh
ٴمىشىت	m xe sh xe t
ملن	m l n
ٴمىيا	m xe i a
مل قۇرايدى	m l   q u r a i d e
مىفتىك	m xe f t xe k
مىتسەلىيا	m xe t s ye l xe i a
مىشاندلە	m xe sh a n d l ye
ٴمىشاپ	m xe sh a p
مو	m o
منەمونىكالىق	m n ye m o n xe k a l e q
مود	m o d
موبستەرلەر	m o b s t ye r l ye r
ٴموگىت	m o g xe t
ملرد	m l r d
مم	m m
منەمونىكا	m n ye m o n xe k a
مودەلەرلەر	m o d ye l ye r l ye r
مودەلەر	m o d ye l ye r
مودەلدەۋ	m o d ye l d ye w
مودەم	m o d ye m
مودەراتور	m o d ye r a t o r
مودالدى	m o d a l d e
مودالدىلىق	m o d a l d e l e q
مودەلدەلگەن	m o d ye l d ye l g ye n
مودەلدەر	m o d ye l d ye r
مودەرنىستەر	m o d ye r n xe s t ye r
مودەرنىست	m o d ye r n xe s t
مودەرنىستىك	m o d ye r n xe s t xe k
مودەراتورلار	m o d ye r a t o r l a r
مودەراتورلىق	m o d ye r a t o r l e q
مودەراتسىيا	m o d ye r a t s xe i a
مودەراتسىيالايدى	m o d ye r a t s xe i a l a i d e
مودۋلدىك	m o d w l d xe k
مودۋل	m o d w l
مودىفىكاتسىيالاۋ	m o d xe f xe k a t s xe i a l a w
ٴمودۋلياتسىيا	m o d w l i a t s xe i a
مودۋلياتورلار	m o d w l i a t o r l a r
ٴمودۋلياتسىيالاڭحان	m o d w l i a t s xe i a l a n gh a n
مودىكۋم	m o d xe k w m
مودىفىكاتور	m o d xe f xe k a t o r
مودىفىكاتورلار	m o d xe f xe k a t o r l a r
مودىفىكاتسىيالار	m o d xe f xe k a t s xe i a l a r
مويىن	m o i e n
مويىمايدى	m o i e m a i d e
موىرە	m o xe r ye
مويىن سىزىعى	m o i e n   s e z e gh e
مويىن باۋى	m o i e n   b a w e
مويىن كىىمدەرى	m o i e n   k xe xe m d ye r xe
ٴمودۋلياتسىيالار	m o d w l i a t s xe i a l a r
ٴمودۋلياتسىيالاۋ	m o d w l i a t s xe i a l a w
ٴمودۋلى	m o d w l xe
ٴموىر	m o xe r
مويىنتىرەكتەر	m o i e n t xe r ye k t ye r
مويىنسۇڭحىشتار	m o i e n s u n gh e sh t a r
مويىنداۋشىلار	m o i e n d a w sh e l a r
موكاسىن	m o k a s xe n
موكسى	m o k s xe
مويىندادى	m o i e n d a d e
مويىندار	m o i e n d a r
مويىنداۋ كەرەك	m o i e n d a w   k ye r ye k
مويىنداۋشى	m o i e n d a w sh e
مولداتۋ	m o l d a t w
مولداتادى	m o l d a t a d e
مولەكۋلاارالىق	m o l ye k w l a a r a l e q
مولەكەندەر	m o l ye k ye n d ye r
مولەكۋلالىق	m o l ye k w l a l e q
مول	m o l
مول بولدى	m o l   b o l d e
مولالار	m o l a l a r
مولدا	m o l d a
مولشىلىق	m o l sh e l e q
موللىكودالار	m o l l xe k o d a l a r
موللىكود	m o l l xe k o d
مولدەۋ	m o l d ye w
مولىنان	m o l e n a n
مولدەر	m o l d ye r
مولەكۋلاسى	m o l ye k w l a s e
مولەحىلل	m o l ye h xe l l
مولىبدەن	m o l xe b d ye n
موللا	m o l l a
موناد	m o n a d
مومىندىقپەن	m o m e n d e q p ye n
مومىندىق	m o m e n d e q
مونادالار	m o n a d a l a r
مونارح	m o n a r h
موليارلار	m o l i a r l a r
موليارلى	m o l i a r l e
مومەنتتەر	m o m ye n t t ye r
مومىن	m o m e n
مونارحتار	m o n a r h t a r
ٴمونارحىيالىق	m o n a r h xe i a l e q
ٴموناتومىيالىق	m o n a t o m xe i a l e q
موناستىر	m o n a s t e r
ٴمونارحىزم	m o n a r h xe z m
ٴمونارحىست	m o n a r h xe s t
مونارحىستەر	m o n a r h xe s t ye r
ٴمونارحىيا	m o n a r h xe i a
ٴمونارحىيالار	m o n a r h xe i a l a r
مونەتارىزم	m o n ye t a r xe z m
مونەتالار	m o n ye t a l a r
مونەتا	m o n ye t a
مونىكەر	m o n xe k ye r
ٴمونىزم	m o n xe z m
مونو	m o n o
موناح	m o n a h
موڭول	m o n g o l
ٴموڭولوىد	m o n g o l o xe d
موڭرەل	m o n g r ye l
مونەدتى	m o n ye d t xe
مونوكل	m o n o k l
مونوكلدار	m o n o k l d a r
مونودراما	m o n o d r a m a
مونوكوتىلون	m o n o k o t xe l o n
مونوكۋلتۋرا	m o n o k w l t w r a
مونوكۋليارلى	m o n o k w l i a r l e
ٴمونوگامىيا	m o n o g a m xe i a
مونوگرامما	m o n o g r a m m a
ٴمونوگرافىيا	m o n o g r a f xe i a
ٴمونوگرافىيالارى	m o n o g r a f xe i a l a r e
مونوگىنى	m o n o g e n e
ٴمونومانىيا	m o n o m a n xe i a
مونولوگتار	m o n o l o g t a r
ٴمونولوگىيالىق	m o n o l o g xe i a l e q
مونومەر	m o n o m ye r
مونومەتاللدىق	m o n o m ye t a l l d e q
ٴمونولىت	m o n o l xe t
مونولىتتەر	m o n o l xe t t ye r
ٴمونولىتتى	m o n o l xe t t xe
مونولوگ	m o n o l o g
ٴمونوپولىيالاۋ	m o n o p o l xe i a l a w
ٴمونوپولىيالار	m o n o p o l xe i a l a r
ٴمونوپولىيالاڭحان	m o n o p o l xe i a l a n gh a n
مونوسلابلەتتەر	m o n o s l a b l ye t t ye r
مونوتوندى	m o n o t o n d e
مونوپلان	m o n o p l a n
ٴمونوپولىزاتسىيالاۋ	m o n o p o l xe z a t s xe i a l a w
ٴمونوپولىست	m o n o p o l xe s t
مونوپولىستەر	m o n o p o l xe s t ye r
ٴمونوپولىيا	m o n o p o l xe i a
ٴمونسىيۋر	m o n s xe i w r
ٴمونسىگاتور	m o n s xe g a t o r
ٴمونستروزىيا	m o n s t r o z xe i a
مونستروزدار	m o n s t r o z d a r
مونوتوندىلىق	m o n o t o n d e l e q
مونوحورد	m o n o h o r d
مونوحروماتىكالىق	m o n o h r o m a t xe k a l e q
مونوحرومدى	m o n o h r o m d e
مونشاقتار	m o n sh a q t a r
مونۋمەنتى	m o n w m ye n t xe
ٴموپىڭ	m o p xe n g
موپ	m o p
موپەد	m o p ye d
مونتاج	m o n t a j
مونتاجداۋ	m o n t a j d a w
مونتاجشى	m o n t a j sh e
مونتان	m o n t a n
مونۋمەنت	m o n w m ye n t
مونۋمەنتالدى	m o n w m ye n t a l d e
موراتورىيلەر	m o r a t o r xe i l ye r
ٴموراتورىي	m o r a t o r xe i
موراس	m o r a s
ٴموربىيالىق	m o r b xe i a l e q
مورگاناتىكالىق	m o r g a n a t xe k a l e q
موردالىق	m o r d a l e q
موپپەت	m o p p ye t
ٴمورالىست	m o r a l xe s t
مورال	m o r a l
مورالدىق	m o r a l d e q
ٴمورىون	m o r xe o n
مورزە	m o r z ye
مورجدار	m o r j d a r
مورف	m o r f
مورفەما	m o r f ye m a
موردانت	m o r d a n t
مورەن	m o r ye n
مورەنا	m o r ye n a
مورج	m o r j
موت	m o t
موسكىتتەر	m o s k xe t t ye r
موسكىت	m o s k xe t
موسەي	m o s ye i
موسسەر	m o s s ye r
موتەل	m o t ye l
ٴمورفىلياتسىيا	m o r f xe l i a t s xe i a
ٴمورفىن	m o r f xe n
ٴمورفىيا	m o r f xe i a
ٴمورفولوگىيالىق	m o r f o l o g xe i a l e q
ٴمورفولوگىياسى	m o r f o l o g xe i a s e
موتوكروسس	m o t o k r o s s
ٴموتلى	m o t l xe
ٴموتىۆى	m o t xe v xe
موتورلى	m o t o r l e
موتور	m o t o r
موتەلدەر	m o t ye l d ye r
ٴموتىۆ	m o t xe v
ٴموتىۆاتسىيالاڭحان	m o t xe v a t s xe i a l a n gh a n
موتىۆتەر	m o t xe v t ye r
ٴموحىر	m o h xe r
موۋر	m o w r
موۋلاح	m o w l a h
موچا	m o ch a
موتسارەللا	m o t s a r ye l l a
موعول	m o gh o l
موتورلى قايىق	m o t o r l e   q a i e q
موتورمان	m o t o r m a n
موتوروللەر	m o t o r o l l ye r
موتوتسىكلدەر	m o t o t s xe k l d ye r
ٴموتتىڭ	m o t t xe n g
مۋزەي ەكسپوناتى	m w z ye i   ye k s p o n a t e
ٴمۋگگى	m w g g xe
مۋگۆۋم	m w g v w m
مۋزىكالىق اۋقىمدا	m w z e k a l e q   a w q e m d a
مۋزىكا	m w z e k a
مۋزىكالىق	m w z e k a l e q
موڭگەر	m o n g g ye r
موڭگەرلەر	m o n g g ye r l ye r
موڭعول	m o n g gh o l
ٴموڭعولىزم	m o n g gh o l xe z m
ٴمۋاززىن	m w a z z xe n
مۋلەت	m w l ye t
مۋلاتلا	m w l a t l a
مۋزىكولوگىيا	m w z e k o l o g xe i a
مۋلەتىر	m w l ye t xe r
مۋللا	m w l l a
مۋزىكالىق نوتا	m w z e k a l e q   n o t a
مۋزىكالىق تاقىرىپ	m w z e k a l e q   t a q e r e p
مۋزىكانت	m w z e k a n t
مۋزىكانتتار	m w z e k a n t t a r
مۋلتىپلەكستى	m w l t xe p l ye k s t xe
مۋلتىپلەكس	m w l t xe p l ye k s
مۋلتىمىللىونەر	m w l t xe m xe l l xe o n ye r
مۋلتىپلىكاتىۆتى	m w l t xe p l xe k a t xe v t xe
مۋلتىپروتسەسسور	m w l t xe p r o t s ye s s o r
مۋلتىپروتسەسسورلىق	m w l t xe p r o t s ye s s o r l e q
ٴمۋللىگاتاۆنىي	m w l l xe g a t a v n e i
ٴمۋللىون	m w l l xe o n
ٴمۋلتىبرىت	m w l t xe b r xe t
مۋلتىك	m w l t xe k
مۋلتىمەدىيالىق	m w l t xe m ye d xe i a l e q
مۋنىتسىپالىتەتتەر	m w n xe t s xe p a l xe t ye t t ye r
ٴمۋنىتسىپالدى	m w n xe t s xe p a l d e
ٴمۋمىيالار	m w m xe i a l a r
مۋسكات جاڭعاعى	m w s k a t   j a n g gh a gh e
مۋسكاتەل	m w s k a t ye l
ٴمۋلتفىلم	m w l t f xe l m
مۋلتفىلمدەر	m w l t f xe l m d ye r
مۋلچا	m w l ch a
ٴمۋمىيا	m w m xe i a
ٴمۋسلىن	m w s l xe n
مۋسكۋس	m w s k w s
مۋسس	m w s s
مۋسسوندار	m w s s o n d a r
مۋسكەت	m w s k ye t
مۋسكەتىيا	m w s k ye t xe i a
مۋسكەتتەر	m w s k ye t t ye r
مۋسكىەر	m w s k xe ye r
مۋسكرات	m w s k r a t
ٴمۋتاتسىيالار	m w t a t s xe i a l a r
مۋفتا	m w f t a
مۋفت	m w f t
مۋفتىلەر	m w f t xe l ye r
مۋستاڭ	m w s t a n g
مۋت	m w t
ٴمۋتاتسىيا	m w t a t s xe i a
ٴمۋتاتسىيالاڭحان	m w t a t s xe i a l a n gh a n
مىجىلعان	m e j e l gh a n
مىجىلىپ	m e j e l e p
مىجىلدى	m e j e l d e
مىلجىڭدادى	m e l j e n g d a d e
مىلجىڭ	m e l j e n g
مىلجىڭ قورابى	m e l j e n g   q o r a b e
مۋش	m w sh
مۋشكەتەر	m w sh k ye t ye r
مىج	m e j
مىلجىڭمەن	m e l j e n g m ye n
مىلجىڭدىق	m e l j e n g d e q
مىلتىق ماقتا	m e l t e q   m a q t a
مىلتىقتار	m e l t e q t a r
مىلجىڭدايدى	m e l j e n g d a i d e
مىلجىڭداپ	m e l j e n g d a p
مىلجىڭدار	m e l j e n g d a r
مىلجىڭداۋ	m e l j e n g d a w
مىرىشتاۋ	m e r e sh t a w
مىرىشتالعان	m e r e sh t a l gh a n
مىرىش	m e r e sh
مىس	m e s
مىرق	m e r q
مىسال كەلتىرۋ	m e s a l   k ye l t xe r w
مىلتىقشى	m e l t e q sh e
مىلقاۋ	m e l q a w
مىرزا	m e r z a
مىرزالار	m e r z a l a r
مىسىق	m e s e q
مىسىرلىق	m e s e r l e q
مىستالعان	m e s t a l gh a n
مىسىقتار ۇيىقتايدى	m e s e q t a r   u i e q t a i d e
ٴمىسىق تارىزدى	m e s e q   t xa r xe z d xe
مىسىقتار	m e s e q t a r
مىسالدار كەلتىرىڭىز	m e s a l d a r   k ye l t xe r xe n g xe z
مىسالى	m e s a l e
مىساس	m e s a s
مىسكوتتار	m e s k o t t a r
مىقتى ادام	m e q t e   a d a m
مىقتى	m e q t e
مىڭجىلدىق	m e n g j e l d e q
مىڭنان	m e n g n a n
مىسقىل سەزىم	m e s q e l   s ye z xe m
مىشىق	m e sh e q
مىشياك	m e sh i a k
مىقتاپ ۇستاڭىز	m e q t a p   u s t a n g e z
ٴميۋسلى	m i w s l xe
ميۋنحەن	m i w n h ye n
ميۋزىكلدەر	m i w z xe k l d ye r
ميۋستەر	m i w s t ye r
مىندەتتەيدى	m xe n d ye t t ye i d xe
مىڭىنشى	m e n g e n sh e
مەنتۋراتسىيا	m ye n t w r a t s xe i a
مەرلەر	m ye r l ye r
مەرى	m ye r xe
